Symbol,DateTime,Open,High,Low,Close,Volume
NSE:TATASTEEL,2020-01-01T00:00:00.000000Z,47.3,47.65,46.48,46.78,121005300
NSE:TATASTEEL,2020-01-02T00:00:00.000000Z,47.2,48.78,47.2,48.49,216749610
NSE:TATASTEEL,2020-01-03T00:00:00.000000Z,48.3,48.62,47.94,48.37,129568630
NSE:TATASTEEL,2020-01-06T00:00:00.000000Z,48.0,48.0,47.06,47.33,96016080
NSE:TATASTEEL,2020-01-07T00:00:00.000000Z,47.55,48.46,47.35,47.61,131957880
NSE:TATASTEEL,2020-01-08T00:00:00.000000Z,47.17,47.81,46.7,47.53,133048410
NSE:TATASTEEL,2020-01-09T00:00:00.000000Z,48.5,48.6,47.91,48.31,101311520
NSE:TATASTEEL,2020-01-10T00:00:00.000000Z,48.55,49.38,48.0,48.62,159276340
NSE:TATASTEEL,2020-01-13T00:00:00.000000Z,49.11,49.7,48.78,49.58,109427500
NSE:TATASTEEL,2020-01-14T00:00:00.000000Z,49.65,50.6,49.58,49.86,156608220
NSE:TATASTEEL,2020-01-15T00:00:00.000000Z,49.19,50.35,48.92,50.21,121179480
NSE:TATASTEEL,2020-01-16T00:00:00.000000Z,50.2,50.4,49.21,49.44,104383690
NSE:TATASTEEL,2020-01-17T00:00:00.000000Z,49.33,49.89,49.19,49.53,56824600
NSE:TATASTEEL,2020-01-20T00:00:00.000000Z,49.7,49.98,48.92,49.06,72918780
NSE:TATASTEEL,2020-01-21T00:00:00.000000Z,48.78,48.78,47.35,47.62,113158030
NSE:TATASTEEL,2020-01-22T00:00:00.000000Z,47.87,47.99,47.32,47.51,76621710
NSE:TATASTEEL,2020-01-23T00:00:00.000000Z,47.59,48.19,47.31,48.03,72000200
NSE:TATASTEEL,2020-01-24T00:00:00.000000Z,48.03,48.51,47.65,48.34,74811300
NSE:TATASTEEL,2020-01-27T00:00:00.000000Z,47.78,47.78,46.01,46.24,129631190
NSE:TATASTEEL,2020-01-28T00:00:00.000000Z,46.0,46.2,44.2,44.62,180152830
NSE:TATASTEEL,2020-01-29T00:00:00.000000Z,45.28,45.97,44.96,45.22,110818340
NSE:TATASTEEL,2020-01-30T00:00:00.000000Z,45.19,45.44,44.14,44.85,146520160
NSE:TATASTEEL,2020-01-31T00:00:00.000000Z,45.3,45.42,43.65,43.87,107387270
NSE:TATASTEEL,2020-02-03T00:00:00.000000Z,41.8,43.9,41.66,43.6,162371260
NSE:TATASTEEL,2020-02-04T00:00:00.000000Z,44.2,45.34,43.35,45.19,133362630
NSE:TATASTEEL,2020-02-05T00:00:00.000000Z,45.22,47.97,44.8,47.51,160567650
NSE:TATASTEEL,2020-02-06T00:00:00.000000Z,47.8,48.72,47.16,47.76,166660740
NSE:TATASTEEL,2020-02-07T00:00:00.000000Z,47.57,47.97,46.88,47.1,116499090
NSE:TATASTEEL,2020-02-10T00:00:00.000000Z,46.03,46.33,44.0,44.38,267960480
NSE:TATASTEEL,2020-02-11T00:00:00.000000Z,44.83,45.77,44.27,44.41,168243710
NSE:TATASTEEL,2020-02-12T00:00:00.000000Z,45.0,45.45,44.26,44.79,117858580
NSE:TATASTEEL,2020-02-13T00:00:00.000000Z,44.88,45.17,43.94,44.12,99652210
NSE:TATASTEEL,2020-02-14T00:00:00.000000Z,44.1,44.56,43.33,43.46,94848170
NSE:TATASTEEL,2020-02-17T00:00:00.000000Z,43.55,44.09,43.3,43.69,97247650
NSE:TATASTEEL,2020-02-18T00:00:00.000000Z,43.4,43.51,42.13,43.14,115024230
NSE:TATASTEEL,2020-02-19T00:00:00.000000Z,43.65,43.85,42.81,43.32,84651090
NSE:TATASTEEL,2020-02-20T00:00:00.000000Z,42.9,44.77,42.8,44.35,129802370
NSE:TATASTEEL,2020-02-24T00:00:00.000000Z,43.49,43.49,41.33,41.54,175231420
NSE:TATASTEEL,2020-02-25T00:00:00.000000Z,41.9,42.56,41.44,42.13,145581760
NSE:TATASTEEL,2020-02-26T00:00:00.000000Z,41.13,41.94,41.13,41.63,142707060
NSE:TATASTEEL,2020-02-27T00:00:00.000000Z,41.49,41.59,40.71,41.28,102263790
NSE:TATASTEEL,2020-02-28T00:00:00.000000Z,39.87,39.9,37.5,38.17,245328330
NSE:TATASTEEL,2020-03-02T00:00:00.000000Z,39.37,39.4,35.8,36.4,202207720
NSE:TATASTEEL,2020-03-03T00:00:00.000000Z,37.35,39.1,37.01,38.76,186489330
NSE:TATASTEEL,2020-03-04T00:00:00.000000Z,38.81,38.99,36.51,37.72,229371480
NSE:TATASTEEL,2020-03-05T00:00:00.000000Z,38.4,38.78,37.43,37.58,146284680
NSE:TATASTEEL,2020-03-06T00:00:00.000000Z,35.69,35.83,34.67,35.15,148481880
NSE:TATASTEEL,2020-03-09T00:00:00.000000Z,33.75,33.77,31.98,32.23,204221360
NSE:TATASTEEL,2020-03-11T00:00:00.000000Z,32.4,32.6,29.61,29.98,286928700
NSE:TATASTEEL,2020-03-12T00:00:00.000000Z,27.5,29.18,26.72,28.75,437671340
NSE:TATASTEEL,2020-03-13T00:00:00.000000Z,27.0,33.21,25.53,32.67,338414370
NSE:TATASTEEL,2020-03-16T00:00:00.000000Z,30.4,31.76,28.71,28.96,236054820
NSE:TATASTEEL,2020-03-17T00:00:00.000000Z,30.0,30.76,28.05,28.27,206539390
NSE:TATASTEEL,2020-03-18T00:00:00.000000Z,29.0,29.32,27.57,28.08,187721700
NSE:TATASTEEL,2020-03-19T00:00:00.000000Z,26.9,28.45,26.05,27.18,187219810
NSE:TATASTEEL,2020-03-20T00:00:00.000000Z,27.97,30.5,27.42,29.77,173077660
NSE:TATASTEEL,2020-03-23T00:00:00.000000Z,26.8,27.8,25.35,27.11,121004020
NSE:TATASTEEL,2020-03-24T00:00:00.000000Z,27.7,28.57,25.86,27.19,129288020
NSE:TATASTEEL,2020-03-25T00:00:00.000000Z,26.7,29.5,26.7,28.68,94428290
NSE:TATASTEEL,2020-03-26T00:00:00.000000Z,29.0,29.55,28.01,28.44,114938330
NSE:TATASTEEL,2020-03-27T00:00:00.000000Z,29.1,29.52,27.42,27.73,111835940
NSE:TATASTEEL,2020-03-30T00:00:00.000000Z,26.7,27.08,25.08,25.41,158537210
NSE:TATASTEEL,2020-03-31T00:00:00.000000Z,26.23,27.25,25.97,26.96,157868130
NSE:TATASTEEL,2020-04-01T00:00:00.000000Z,26.6,26.8,25.81,26.64,119647990
NSE:TATASTEEL,2020-04-03T00:00:00.000000Z,26.77,26.89,25.1,25.38,125266950
NSE:TATASTEEL,2020-04-07T00:00:00.000000Z,26.6,27.77,26.12,27.62,159566590
NSE:TATASTEEL,2020-04-08T00:00:00.000000Z,27.1,29.29,26.67,27.48,204349980
NSE:TATASTEEL,2020-04-09T00:00:00.000000Z,28.05,28.96,27.76,28.49,138556280
NSE:TATASTEEL,2020-04-13T00:00:00.000000Z,28.5,29.2,27.39,28.25,155103280
